epoch,train_loss,val_relative_l2,val_mse,lr
0,0.9999595310006822,0.998892548254558,1.1772329402821404,0.001
1,0.9989742406776974,0.9988710922854287,1.1769486818994794,0.001
2,0.997991054398673,0.9958086371421814,1.1743056454828806,0.001
3,0.9951594991343362,0.9905094521386283,1.1718730394329344,0.001
4,0.9926629722118377,0.987003526517323,1.1728912310940878,0.001
5,0.9917197985308511,0.9874636547906058,1.1778807339923723,0.001
6,0.9908365828650338,0.9881898147719247,1.1793658047914506,0.001
7,0.9804533558232443,0.992583967106683,1.1789228686264583,0.001
8,0.9776638959135328,0.9943738843713488,1.1832962272422654,0.001
9,0.9710147568157741,0.9998435412134443,1.1866026808108603,0.001
10,0.9626144196305956,1.0133008939879282,1.2066414837326322,0.001
11,0.9567323565483093,1.0099151977470944,1.2003600814512798,0.001
12,0.9477649782385145,1.0246861117226738,1.2113816329411098,0.001
13,0.9264514446258545,1.0523384877613613,1.2415161388260978,0.001
14,0.9263674693448203,1.034963936465127,1.2324455857276917,0.001
15,0.9100272902420589,1.044727645601545,1.2459262077297484,0.001
16,0.9057494291237422,1.049104290349143,1.246828783409936,0.001
17,0.893553444317409,1.0671406337193081,1.2729555095945086,0.001
18,0.885095762354987,1.0654616151537215,1.2667350858449935,0.001
19,0.8734251890863691,1.0798679981912886,1.2875683243785585,0.001
