/root/miniconda3/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:149: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
{"agg": 33.34647287790876, "family": {"layered": 54.6525520353276, "marmousi": 21.205374138670596, "uniform": 24.18149245972807}, "update": 150}
{"agg": 1.3917573369056424, "family": {"layered": 1.884081933565012, "marmousi": 1.1551241482689467, "uniform": 1.1360659288829684}, "update": 300}
{"agg": 1.0257658538333996, "family": {"layered": 1.0683433097670252, "marmousi": 1.0037838005676627, "uniform": 1.0051704511655104}, "update": 450}
{"agg": 1.0361623897681982, "family": {"layered": 1.0888844369808517, "marmousi": 1.0115754490132418, "uniform": 1.008027283310501}, "update": 600}
{"agg": 1.0475849321965987, "family": {"layered": 1.1182782241006952, "marmousi": 1.0158335457330063, "uniform": 1.0086430267560942}, "update": 750}
{"agg": 1.0243947489245813, "family": {"layered": 1.0635098747799419, "marmousi": 1.0061558568199631, "uniform": 1.0035185151738386}, "update": 900}
{"agg": 1.0050318494073631, "family": {"layered": 1.011508893989564, "marmousi": 1.0019689389836868, "uniform": 1.0016177152488384}, "update": 1050}
{"agg": 0.9587893203302377, "family": {"layered": 0.8656969663440742, "marmousi": 1.0051378927905426, "uniform": 1.0055331018560962}, "update": 1200}
{"agg": 0.8729667984268135, "family": {"layered": 0.6146515526801003, "marmousi": 1.002001940799285, "uniform": 1.002246901801055}, "update": 1350}
{"agg": 0.7909968665577671, "family": {"layered": 0.3723277186250526, "marmousi": 1.0003096007211165, "uniform": 1.0003532803271322}, "update": 1500}
{"agg": 0.7980087110355348, "family": {"layered": 0.39363612214336396, "marmousi": 1.0003164424432902, "uniform": 1.0000735685199504}, "update": 1650}
